Type,domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,having_repeated_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
1,26,5,0,0,0,0,2,3,0,3.532573258
1,18,1,0,0,1,0,1,15,0,3.281036113
1,13,2,0,0,4,0,1,9,0,3.39274741
1,16,4,0,0,0,0,2,3,0,3.452819531
1,15,4,0,0,1,0,2,3,0,2.872905595
1,12,4,1,0,3,0,1,8,3,3.418295834
1,23,3,0,0,0,0,2,16,0,3.882045108
1,14,2,0,0,1,0,2,4,0,3.378783493
1,18,1,1,0,0,0,1,14,0,3.308270835
1,28,2,1,0,0,0,2,7.5,0,3.913799565
1,15,2,3,0,16,0,1,11,0,3.456564762
1,20,2,0,0,1,0,2,6,1,3.241446071
1,9,6,0,1,1,0,1,5,0,2.641604168
1,17,3,0,1,22,0,2,3,0,3.381580488
1,8,1,0,1,24,0,1,5,2,3
1,14,4,1,1,2,0,2,3,0,3.039148672
1,21,4,0,0,40,0,3,6,0,3.784941827
1,23,4,0,0,0,0,2,3,0,3.708132065
1,26,2,0,0,24,0,1,23,0,3.320658834
1,12,3,0,0,0,0,2,2,0,2.855388542
1,29,3,1,2,29,0,2,11,2,3.78834134
1,16,2,0,0,0,0,1,12,0,3.75
1,16,2,1,0,0,0,2,10,0,3.5
1,18,3,2,0,0,0,2,3,0,3.683542362
1,19,1,1,0,0,0,1,7,0,3.721611724
1,15,2,0,0,0,0,1,12,0,3.323231429
1,14,3,3,0,38,0,1,10,0,3.378783493
1,34,2,1,0,0,0,2,3,0,3.447038209
1,18,3,0,0,0,0,3,3,0,3.419381946
1,16,3,0,0,7,1,2,8,7,3.75
1,15,6,1,2,36,0,1,11,0,3.640223929
1,17,2,1,0,45,0,1,13,0,3.169248696
1,15,1,0,0,0,0,1,12,0,3.139572262
1,32,8,1,3,1,0,5,2,0,3.753928032
1,14,6,1,7,8,0,2,3,0,3.324862958
1,17,1,1,0,24,0,1,14,2,3.852168724
1,16,2,0,0,2,0,2,7,1,3.625
1,18,2,0,0,1,0,2,11,0,3.572431251
1,14,3,5,0,21,0,2,3,0,3.039148672
1,11,2,1,0,0,0,1,7,0,2.913977073
1,42,5,0,2,11,0,5,3,0,4.220429781
1,22,2,0,0,0,0,2,5,0,3.697845823
1,10,3,1,0,6,0,2,3,0,2.921928095
1,6,1,0,0,0,0,1,3,0,2.584962501
1,27,3,0,0,0,0,3,11,0,3.810081021
1,18,2,6,0,0,0,2,3,0,3.46132014
1,61,4,2,0,11,1,4,14,11,4.436976428
1,34,3,1,4,21,1,2,7.5,0,4.138502179
1,21,4,0,0,0,0,2,3,0,3.236857303
1,21,1,1,0,24,0,1,17,0,3.689703732
1,2,4,0,2,7,0,3,2,0,3.845350937
1,24,1,4,0,5,0,1,3.4,0,3.584962501
1,14,1,0,0,21,0,1,10,0,3.378783493
1,16,1,1,1,19,0,1,6,0,3.452819531
1,15,1,0,0,22,0,1,12,0,3.189898095
1,11,2,4,0,13,0,1,8,0,2.845350937
1,14,2,0,1,31,0,1,11,0,3.128085279
1,11,2,0,1,28,0,1,7,0,3.095795255
1,87,8,0,0,39,1,8,5,0,4.516243393
1,13,3,0,0,0,0,2,3,0,2.87314068
1,10,3,2,0,0,0,2,18.33333333,0,3.410417253
1,6,1,0,0,0,0,1,3,0,2.584962501
1,20,3,0,0,0,0,2,3,0,3.48418372
1,17,7,3,0,52,0,1,13,1,3.499227547
1,12,4,0,0,9,1,3,2,2,2.855388542
1,16,2,0,0,0,0,2,10,0,3.202819531
1,26,4,1,6,18,0,2,19,0,3.74832866
1,16,2,0,0,2,0,1,12,0,3.327819531
1,17,6,1,1,2,0,2,3,0,3.572469459
1,23,3,9,5,18,0,2,6,0,3.497055848
1,18,5,0,2,1,0,2,11,0,3.169925001
1,18,1,0,1,0,0,1,14,0,3.503258335
1,37,3,5,0,33,1,2,9,0,3.938654717
1,8,2,1,0,11,0,1,4,2,3
1,17,2,0,0,22,0,1,13,0,3.690116518
1,36,2,3,0,4,1,1,7.25,4,4.006749919
1,40,5,1,1,19,0,4,8,0,4.006198333
1,113,10,2,0,27,0,10,3,0,4.566026424
1,17,1,1,0,8,1,1,6,8,3.616874606
1,23,1,0,1,48,0,1,19,0,3.795088586
1,15,1,1,0,0,0,1,5,0,3.640223929
1,27,7,0,0,13,1,3,8,7,4.07841852
1,8,2,0,0,2,0,1,66,0,3.323231429
1,22,5,1,2,0,0,2,15,0,3.572623664
1,6,1,0,0,0,0,1,3,0,2.584962501
1,26,2,2,0,0,0,1,6.666666667,0,3.503539123
1,24,2,0,0,1,0,2,15,0,3.65726823
1,16,6,2,7,8,0,2,3,0,3.155639062
1,13,2,0,0,3,0,1,9,0,3.39274741
1,45,2,1,2,10,0,2,15.5,0,4.169413652
1,16,2,2,1,7,0,1,5.5,0,3.5
1,12,2,0,0,10,0,1,8,0,3.084962501
1,30,4,0,0,0,0,4,3,0,3.840223929
1,28,5,5,3,19,1,2,6.333333333,1,3.507127352
1,19,1,0,0,4,0,1,15,0,3.40582225
1,23,3,6,0,18,0,2,6.5,0,3.914866304
1,21,3,0,0,0,0,1,17,0,3.535174566
1,16,3,0,0,0,0,3,3,0,3.405639062
1,18,2,1,1,25,0,1,14,0,3.614369446
1,19,2,2,0,0,0,1,7,0,3.642149882
1,18,1,0,0,0,0,1,14,0,3.308270835
1,36,6,1,3,25,1,6,6,3,4.086048612
1,22,3,0,0,0,0,2,3,0,3.6412498
1,14,1,0,1,0,0,1,10,0,3.093069208
1,20,3,0,0,0,0,2,3,0,3.546439345
1,25,2,0,0,21,0,2,3,0,3.46346519
1,33,5,2,0,1,0,5,8,0,3.942438726
1,28,2,0,0,6,0,2,4,0,3.940759833
1,12,2,1,0,0,0,1,8,0,3.251629167
1,61,4,2,0,11,1,4,14,11,4.262303936
1,32,6,0,0,1,0,5,4,0,3.605337797
1,12,4,0,1,0,0,2,3,0,3.022055209
1,14,1,2,0,18,0,1,5,0,3.521640636
1,10,1,0,0,0,0,1,7,0,2.921928095
1,11,3,1,0,0,0,2,11,0,3.782122224
1,5,2,0,0,0,0,1,14,0,3.606936732
1,18,4,0,1,0,0,2,3,0,3.683542362
1,19,2,2,2,0,0,1,4.333333333,0,3.681880803
1,6,3,0,1,5,0,1,3,0,2.584962501
1,23,2,0,0,6,0,2,12,0,3.588354347
1,21,2,0,0,1,0,1,17,0,3.558518613
1,36,2,2,0,21,0,2,6.333333333,0,4.162573265
1,11,2,0,1,28,0,1,7,0,3.095795255
1,7,1,0,0,1,0,1,4,0,2.807354922
1,17,3,0,0,1,0,2,2,0,3.146286371
1,24,2,1,0,5,0,2,9,0,3.386842188
1,19,4,0,0,0,0,1,15,0,3.471354487
1,9,4,0,0,1,0,1,5,0,2.641604168
1,24,2,0,0,6,0,1,20,0,3.65726823
1,13,5,1,1,2,0,1,9,0,3.39274741
1,139,11,4,0,34,1,10,6,0,4.717912634
1,17,3,0,0,0,0,3,3,0,2.851018723
1,22,2,0,0,0,0,2,14,0,3.606936732
1,12,2,0,0,0,0,2,3,0,2.855388542
1,15,5,0,0,1,0,2,3,0,3.189898095
1,14,3,0,0,11,1,3,3,3,2.413799565
1,24,2,0,0,3,1,2,15,2,3.886842188
1,21,1,0,0,0,0,1,17,0,3.3273399
1,13,9,0,0,1,0,2,3,0,3.026986833
1,33,5,0,0,1,0,5,8,0,3.942438726
1,17,3,1,1,0,0,2,10,0,3.616874606
1,18,4,0,0,9,0,2,7,1,3.836591668
1,24,2,0,0,0,0,1,21,0,3.303508855
1,23,4,0,0,1,0,3,3,0,3.588354347
1,8,2,3,0,0,0,2,11.33333333,0,3.762267391
1,14,4,1,0,0,0,2,3,0,3.324862958
1,12,2,0,0,0,0,1,8,0,3.084962501
1,20,2,0,0,2,0,2,10,1,3.821928095
1,25,3,0,0,1,0,2,5,0,3.86346519
1,27,5,0,0,0,0,5,2,0,3.472324892
1,16,1,9,0,37,1,1,13,3,3.375
1,18,3,0,0,0,0,1,14,0,3.26633264
1,29,2,0,0,0,0,2,23,0,3.509035634
1,20,3,0,0,0,0,3,3,0,3.30869497
1,43,7,3,0,16,0,4,8,0,3.961294558
1,23,2,1,0,25,0,2,3,0,3.642489673
1,11,1,0,0,13,0,1,7,0,3.277613437
1,28,4,1,0,3,0,3,3,0,3.770942422
1,28,4,0,1,5,0,3,9,0,4.06610894
1,22,3,0,1,4,0,3,3,0,3.503997527
1,15,2,0,0,16,0,1,11,0,3.323231429
1,14,2,0,0,0,0,2,7,0,3.182005815
1,18,2,3,0,1,0,1,6.5,0,3.614369446
1,17,2,0,0,55,0,2,3,0,3.057476076
1,19,2,0,0,0,0,1,15,0,3.826874882
1,24,2,1,0,2,0,2,3,0,3.688721876
1,27,8,0,3,1,0,5,2,0,3.574357762
1,14,4,0,2,1,0,1,10,0,3.324862958
1,12,2,8,0,0,0,1,9,0,3.418295834
1,35,5,1,1,19,0,4,6,0,4.011585432
1,13,4,1,0,4,1,2,3,0,2.87314068
1,13,6,1,7,8,0,2,3,0,3.180832987
1,26,4,0,0,0,0,4,6,0,3.671405583
1,22,4,0,0,1,0,4,3,0,3.299896391
1,12,1,0,0,0,0,1,8,0,3.084962501
1,22,3,1,2,11,0,2,9,0,3.572623664
1,20,3,0,0,0,0,2,3,0,3.28418372
1,20,4,0,0,0,0,2,10,0,3.421928095
1,26,3,0,0,0,0,2,10,0,3.74832866
1,14,3,0,0,36,0,2,4,0,3.378783493
1,11,3,2,0,0,0,2,3,0,2.845350937
1,20,7,1,1,2,0,3,3,0,3.38418372
1,19,4,0,0,29,0,3,5,0,3.681880803
1,27,2,0,0,0,0,2,3,0,3.680089354
1,20,3,0,0,0,0,2,3,0,3.546439345
1,33,8,0,2,26,1,6,3,0,4.066677074
1,31,2,0,0,5,0,2,10,5,4.106949133
1,26,4,4,0,7,1,1,6.666666667,7,3.854285872
1,19,1,0,0,0,0,1,15,0,3.431623566
1,21,4,1,0,1,0,3,3,0,3.291392876
1,17,2,1,0,0,0,1,6,0,3.4548224
1,39,6,2,4,4,0,4,6,0,3.605253823
1,12,2,0,0,0,0,2,5,0,3.251629167
1,76,5,7,1,35,1,5,6.6,19,4.489180764
1,38,2,2,3,18,0,2,5.666666667,0,3.938073895
1,13,3,0,0,0,0,2,3,0,3.026986833
1,27,2,0,0,0,0,2,15,0,3.856196298
1,13,2,0,0,2,0,1,9,1,3.546593564
1,13,2,0,0,1,0,1,9,0,3.39274741
1,16,2,1,0,0,0,1,12,0,3.5
1,23,1,2,0,0,0,1,5.666666667,0,3.410099327
1,14,6,1,1,2,0,2,3,0,3.039148672
1,13,2,0,0,23,0,2,5,0,3.085055103
1,12,2,0,0,0,0,1,8,0,3.418295834
1,10,1,0,2,1,0,1,6,1,2.921928095
1,22,2,1,0,0,0,2,3,0,3.606936732
1,17,5,1,2,1,0,2,3,0,3.572469459
1,18,6,1,1,2,0,2,3,0,3.572431251
1,16,4,1,0,0,0,2,3,0,3.327819531
1,16,3,1,0,2,0,2,3,0,3
1,39,7,1,3,11,1,5,6,3,4.141064001
1,11,1,0,0,0,0,1,7,0,3.459431619
1,4,1,0,0,5,0,1,22,0,2.789898095
1,9,2,1,2,77,0,1,6,0,3.169925001
1,30,2,0,0,0,0,2,17,0,3.939572262
1,21,7,0,0,3,0,3,3,0,3.558518613
1,11,2,0,1,29,0,1,7,0,3.277613437
1,21,2,4,0,0,0,1,17,0,3.522571589
1,22,3,1,0,0,0,1,18,0,3.788754914
1,32,3,0,0,6,0,2,17,3,4.452819531
1,13,6,1,1,1,0,2,3,0,3.026986833
1,20,1,1,0,0,0,1,7.5,0,3.38418372
1,13,3,0,2,3,0,1,9,0,3.39274741
1,20,4,0,2,0,0,3,4,0,3.40869497
1,39,2,0,0,0,0,1,35,0,3.906570488
1,32,4,0,0,0,0,4,3,0,3.890319531
1,31,7,0,0,0,0,3,3,0,3.643577263
1,24,3,0,0,4,1,2,13,3,4.136842188
1,10,1,0,0,1,0,1,6,1,3.321928095
1,25,4,0,2,18,0,2,19,1,3.559079571
1,13,2,0,0,1,0,1,9,0,3.39274741
1,13,2,0,0,0,0,1,10,0,3.238901257
1,17,6,0,0,0,0,1,13,0,3.572469459
1,42,4,1,0,0,0,4,3,0,3.52373633
1,14,1,0,0,0,0,1,10,0,3.235926351
1,24,3,1,1,3,0,1,9,0,3.403107168
1,96,11,7,0,2,0,11,5,0,4.225362599
1,12,2,2,2,38,0,1,8,0,3.084962501
1,14,1,1,0,21,0,1,10,0,2.985228136
1,28,1,0,0,0,0,1,24,0,3.365764637
1,47,5,5,0,2,0,4,6,0,4.320205608
