domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
26,5,0,0,0,2,3,0,3.532573258
18,1,0,0,1,1,15,0,3.281036113
13,2,0,0,4,1,9,0,3.39274741
16,4,0,0,0,2,3,0,3.452819531
15,4,0,0,1,2,3,0,2.872905595
12,4,1,0,3,1,8,3,3.418295834
23,3,0,0,0,2,16,0,3.882045108
14,2,0,0,1,2,4,0,3.378783493
18,1,1,0,0,1,14,0,3.308270835
28,2,1,0,0,2,7.5,0,3.913799565
15,2,3,0,16,1,11,0,3.456564762
20,2,0,0,1,2,6,1,3.241446071
9,6,0,1,1,1,5,0,2.641604168
17,3,0,1,22,2,3,0,3.381580488
8,1,0,1,24,1,5,2,3
14,4,1,1,2,2,3,0,3.039148672
21,4,0,0,40,3,6,0,3.784941827
23,4,0,0,0,2,3,0,3.708132065
26,2,0,0,24,1,23,0,3.320658834
12,3,0,0,0,2,2,0,2.855388542
29,3,1,2,29,2,11,2,3.78834134
16,2,0,0,0,1,12,0,3.75
16,2,1,0,0,2,10,0,3.5
18,3,2,0,0,2,3,0,3.683542362
19,1,1,0,0,1,7,0,3.721611724
15,2,0,0,0,1,12,0,3.323231429
14,3,3,0,38,1,10,0,3.378783493
34,2,1,0,0,2,3,0,3.447038209
18,3,0,0,0,3,3,0,3.419381946
16,3,0,0,7,2,8,7,3.75
15,6,1,2,36,1,11,0,3.640223929
17,2,1,0,45,1,13,0,3.169248696
15,1,0,0,0,1,12,0,3.139572262
32,8,1,3,1,5,2,0,3.753928032
14,6,1,7,8,2,3,0,3.324862958
17,1,1,0,24,1,14,2,3.852168724
16,2,0,0,2,2,7,1,3.625
18,2,0,0,1,2,11,0,3.572431251
14,3,5,0,21,2,3,0,3.039148672
11,2,1,0,0,1,7,0,2.913977073
22,2,0,0,0,2,5,0,3.697845823
10,3,1,0,6,2,3,0,2.921928095
6,1,0,0,0,1,3,0,2.584962501
27,3,0,0,0,3,11,0,3.810081021
18,2,6,0,0,2,3,0,3.46132014
34,3,1,4,21,2,7.5,0,4.138502179
21,4,0,0,0,2,3,0,3.236857303
21,1,1,0,24,1,17,0,3.689703732
2,4,0,2,7,3,2,0,3.845350937
24,1,4,0,5,1,3.4,0,3.584962501
14,1,0,0,21,1,10,0,3.378783493
16,1,1,1,19,1,6,0,3.452819531
15,1,0,0,22,1,12,0,3.189898095
11,2,4,0,13,1,8,0,2.845350937
14,2,0,1,31,1,11,0,3.128085279
11,2,0,1,28,1,7,0,3.095795255
13,3,0,0,0,2,3,0,2.87314068
10,3,2,0,0,2,18.33333333,0,3.410417253
6,1,0,0,0,1,3,0,2.584962501
20,3,0,0,0,2,3,0,3.48418372
17,7,3,0,52,1,13,1,3.499227547
12,4,0,0,9,3,2,2,2.855388542
16,2,0,0,0,2,10,0,3.202819531
26,4,1,6,18,2,19,0,3.74832866
16,2,0,0,2,1,12,0,3.327819531
17,6,1,1,2,2,3,0,3.572469459
23,3,9,5,18,2,6,0,3.497055848
18,5,0,2,1,2,11,0,3.169925001
18,1,0,1,0,1,14,0,3.503258335
37,3,5,0,33,2,9,0,3.938654717
8,2,1,0,11,1,4,2,3
17,2,0,0,22,1,13,0,3.690116518
36,2,3,0,4,1,7.25,4,4.006749919
40,5,1,1,19,4,8,0,4.006198333
17,1,1,0,8,1,6,8,3.616874606
23,1,0,1,48,1,19,0,3.795088586
15,1,1,0,0,1,5,0,3.640223929
27,7,0,0,13,3,8,7,4.07841852
8,2,0,0,2,1,66,0,3.323231429
22,5,1,2,0,2,15,0,3.572623664
6,1,0,0,0,1,3,0,2.584962501
26,2,2,0,0,1,6.666666667,0,3.503539123
24,2,0,0,1,2,15,0,3.65726823
16,6,2,7,8,2,3,0,3.155639062
13,2,0,0,3,1,9,0,3.39274741
16,2,2,1,7,1,5.5,0,3.5
12,2,0,0,10,1,8,0,3.084962501
30,4,0,0,0,4,3,0,3.840223929
28,5,5,3,19,2,6.333333333,1,3.507127352
19,1,0,0,4,1,15,0,3.40582225
23,3,6,0,18,2,6.5,0,3.914866304
21,3,0,0,0,1,17,0,3.535174566
16,3,0,0,0,3,3,0,3.405639062
18,2,1,1,25,1,14,0,3.614369446
19,2,2,0,0,1,7,0,3.642149882
18,1,0,0,0,1,14,0,3.308270835
36,6,1,3,25,6,6,3,4.086048612
22,3,0,0,0,2,3,0,3.6412498
14,1,0,1,0,1,10,0,3.093069208
20,3,0,0,0,2,3,0,3.546439345
25,2,0,0,21,2,3,0,3.46346519
33,5,2,0,1,5,8,0,3.942438726
28,2,0,0,6,2,4,0,3.940759833
12,2,1,0,0,1,8,0,3.251629167
32,6,0,0,1,5,4,0,3.605337797
12,4,0,1,0,2,3,0,3.022055209
14,1,2,0,18,1,5,0,3.521640636
10,1,0,0,0,1,7,0,2.921928095
11,3,1,0,0,2,11,0,3.782122224
5,2,0,0,0,1,14,0,3.606936732
18,4,0,1,0,2,3,0,3.683542362
19,2,2,2,0,1,4.333333333,0,3.681880803
6,3,0,1,5,1,3,0,2.584962501
23,2,0,0,6,2,12,0,3.588354347
21,2,0,0,1,1,17,0,3.558518613
36,2,2,0,21,2,6.333333333,0,4.162573265
11,2,0,1,28,1,7,0,3.095795255
7,1,0,0,1,1,4,0,2.807354922
17,3,0,0,1,2,2,0,3.146286371
24,2,1,0,5,2,9,0,3.386842188
19,4,0,0,0,1,15,0,3.471354487
9,4,0,0,1,1,5,0,2.641604168
24,2,0,0,6,1,20,0,3.65726823
13,5,1,1,2,1,9,0,3.39274741
17,3,0,0,0,3,3,0,2.851018723
22,2,0,0,0,2,14,0,3.606936732
