domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
17,2,1,0,0,2,3,0,3.4548224
14,6,1,7,13,2,3,0,3.182005815
23,4,0,2,0,3,5,0,3.46857663
16,4,0,0,2,2,3,0,3.155639062
13,2,0,0,0,1,9,0,3.39274741
30,7,0,2,23,5,3,0,3.936243413
39,7,1,3,11,5,6,3,4.192346053
14,7,1,1,2,2,3,0,3.039148672
13,1,0,0,11,1,9,0,3.39274741
25,3,0,0,0,3,8,0,3.62346519
9,6,1,1,2,1,5,0,2.641604168
83,11,1,1,23,10,6,0,4.356891067
25,1,1,0,0,1,10.5,0,3.54346519
13,5,1,1,2,1,9,0,3.39274741
26,3,1,2,50,2,3,0,3.767183468
32,3,0,0,1,2,23,0,3.308157329
20,1,1,0,1,1,16,0,3.58418372
28,3,0,0,0,3,3,0,3.726474118
14,3,0,0,0,2,7,0,3.235926351
14,5,0,0,1,1,10,0,3.521640636
20,3,0,0,0,3,3,0,3.40869497
10,1,0,0,3,1,6,0,3.121928095
14,4,0,0,2,2,3,0,3.039148672
24,5,1,0,0,1,20,0,3.636842188
19,3,0,0,0,2,3,0,3.431623566
12,2,0,0,10,1,8,0,3.084962501
75,7,6,0,21,7,6,0,4.308178193
11,1,1,0,0,1,8,0,3.277613437
20,3,3,0,48,2,3,0,3.78418372
25,4,0,0,11,3,10,3,3.75326969
20,3,1,0,4,2,14,0,3.58418372
16,3,2,1,16,2,3,0,3.327819531
11,2,0,1,28,1,7,0,3.095795255
19,3,0,2,0,3,3,0,3.391892645
11,5,1,0,1,1,8,0,2.913977073
15,2,0,0,3,2,4,0,2.973557262
38,3,1,0,0,2,10,0,3.922545198
12,3,1,2,3,1,8,3,3.251629167
21,4,0,0,36,3,6,0,3.784941827
39,7,1,3,22,5,6,3,4.160420091
27,5,0,1,3,2,9,0,3.856196298
14,1,1,0,27,1,10,0,3.521640636
17,3,1,1,4,1,13,0,3.616874606
17,3,1,0,0,2,3,0,3.337175341
26,3,1,1,5,2,20,0,3.642371449
14,6,1,1,0,2,3,0,3.039148672
35,2,0,0,6,2,23,6,4.125871146
17,1,0,1,60,1,13,0,3.146286371
20,2,0,0,0,1,16,0,3.346439345
12,6,0,0,0,2,5,0,2.918295834
20,4,0,0,19,2,7,0,3.58418372
20,2,1,0,0,1,16,0,3.546439345
19,3,2,0,0,2,3,0,3.471354487
21,4,0,0,0,1,17,0,3.558518613
15,2,0,0,1,2,3,0,3.456564762
17,2,0,0,0,1,13,0,3.337175341
34,3,0,0,5,2,19,2,4.477024974
24,4,0,0,0,2,4,0,3.688721876
15,2,0,0,0,1,11,0,3.640223929
16,4,1,0,6,2,9,0,3.625
22,5,1,0,0,2,3,0,3.663532755
13,2,0,0,3,1,9,0,3.39274741
13,2,0,0,1,1,9,0,3.39274741
26,2,2,0,0,2,3.666666667,0,3.902174814
34,2,1,0,2,2,3,0,3.998652547
12,5,0,0,0,2,3,0,3.022055209
16,5,1,1,0,1,6,0,3.75
20,3,0,0,0,2,8,0,3.446439345
11,2,0,1,6,1,7,0,3.095795255
39,2,2,0,6,2,9,6,3.955291886
28,6,1,0,0,5,2,0,3.695947226
27,3,1,0,2,3,3,0,3.884155095
13,3,0,2,5,1,9,0,3.026986833
12,1,1,0,0,1,8,0,3.418295834
23,8,1,0,0,4,2,0,3.914866304
17,5,0,2,1,2,3,0,3.572469459
25,3,0,2,2,2,3,0,3.323074189
20,2,0,0,3,2,8,3,3.68418372
16,2,1,0,0,2,3,0,3.452819531
111,10,4,0,21,10,3.666666667,0,4.491595237
45,3,1,0,21,3,6.5,0,4.172206919
15,1,0,0,0,1,11,0,3.506890596
26,3,0,0,3,3,9,3,3.738149333
17,6,1,1,2,2,3,0,3.4548224
16,5,0,0,1,1,12,1,3.452819531
8,3,1,1,0,1,5,0,2.5
19,3,0,0,1,2,7,0,3.681880803
16,2,0,0,0,1,12,0,3.327819531
11,1,0,0,25,1,7,0,3.095795255
18,1,1,0,0,1,14,0,3.683542362
22,3,0,0,2,2,7,0,3.879664005
72,12,0,0,37,12,6,0,4.1555803
12,1,0,1,19,1,8,0,3.251629167
21,3,0,0,5,2,3,2,3.880179923
19,2,2,0,0,1,7,0,3.511085408
17,2,0,0,35,2,10,0,3.292770194
28,3,0,0,1,3,13,1,3.896291529
13,2,0,0,2,1,9,0,3.39274741
14,2,0,0,21,1,10,2,3.664497779
9,1,0,7,7,1,5,0,3.169925001
17,1,0,2,10,1,13,0,3.410417253
18,3,0,0,2,2,7,0,3.239097918
26,2,0,0,0,2,14,0,3.825251737
34,6,1,0,0,2,8.5,0,4.07967865
27,4,0,2,1,3,3,0,3.485825928
16,15,3,0,14,2,9,0,3.375
19,1,0,0,22,1,15,0,3.40582225
26,7,1,3,1,5,2,0,3.551428065
21,2,0,0,0,2,14,0,3.653756708
123,14,1,0,29,14,6,0,4.63310774
26,6,0,0,0,2,19,0,3.777362795
43,8,1,0,0,7,2,0,3.98635436
12,1,0,0,3,1,9,0,3.188721876
31,2,2,0,0,2,7.5,0,3.84566315
16,2,1,0,0,1,5.5,0,3.452819531
11,3,0,4,12,1,7,0,3.277613437
25,4,0,0,35,3,6,0,3.83326969
8,5,0,4,1,1,5,0,2.75
16,2,0,0,0,2,8,0,3.077819531
16,2,0,0,0,2,4,0,3.25
21,2,0,0,1,2,14,0,3.689703732
17,2,0,0,0,1,13,0,3.616874606
13,4,0,0,0,1,9,0,3.39274741
32,2,0,0,1,2,23,0,3.949698735
18,2,0,2,2,2,11,0,3.614369446
26,2,1,0,0,1,23,0,3.507380102
104,8,1,0,59,8,6,0,4.723142397
36,3,0,0,32,3,15,15,4.294653474
16,3,0,0,21,2,4,0,3.452819531
16,4,0,1,0,1,13,0,3.327819531
25,4,3,0,0,2,3,0,3.86346519
19,1,2,0,6,1,15,3,3.681880803
19,2,1,0,20,2,3,0,3.431623566
19,2,2,0,0,2,3.333333333,0,3.155565013
12,3,0,2,3,1,8,0,3.084962501
52,8,3,1,18,4,4.5,6,4.291127939
13,2,0,0,1,1,9,0,3.39274741
11,5,2,0,0,1,8,0,3.277613437
18,3,0,0,0,1,14,0,3.683542362
13,3,0,0,7,2,3,0,2.87314068
39,7,1,3,22,5,6,3,4.262984194
18,3,0,0,0,2,3,0,3.350209029
46,2,4,0,1,2,5.6,1,4.221946674
15,5,0,0,1,2,3,0,3.189898095
15,4,1,0,0,3,3,0,3.139572262
13,3,0,2,2,2,4,0,3.085055103
36,2,0,0,0,2,3,0,3.853700613
25,3,0,0,7,2,8,7,3.83326969
19,2,1,0,0,1,16,0,3.576617645
28,2,0,0,0,1,24,0,3.682005815
13,2,0,0,0,2,3,0,3.026986833
15,2,0,0,6,1,11,0,3.323231429
21,4,0,0,0,2,3,0,3.499227542
9,2,0,0,1,1,6,1,2.947702779
11,2,0,1,28,1,7,0,3.095795255
15,3,0,1,0,1,11,0,3.373557262
19,6,0,0,2,2,3,0,3.326360408
24,2,1,0,0,2,3,0,3.688721876
18,1,0,0,0,1,14,0,3.46132014
14,6,1,1,0,2,3,0,3.182005815
13,2,0,0,2,1,9,0,3.39274741
15,4,0,0,3,2,4,0,2.973557262
11,5,1,1,2,1,7,0,3.277613437
13,2,0,0,0,1,9,0,3.39274741
14,2,0,0,0,2,3,0,2.610577243
13,2,0,0,2,1,9,0,3.39274741
15,3,0,0,0,2,3,0,3.189898095
15,3,0,0,3,2,4,0,2.973557262
37,1,3,0,0,1,7.75,0,3.732988758
23,7,1,3,1,4,2,0,3.914866304
21,2,0,0,0,1,18,0,3.916126947
20,2,0,0,51,2,7,4,3.78418372
22,1,0,0,0,1,18,0,3.6412498
15,3,2,1,0,1,11,0,3.373557262
28,4,1,0,26,3,9,0,4.06610894
18,5,1,0,0,3,3,0,3.308270835
9,2,1,0,2,1,5,0,2.947702779
90,10,2,0,8,9,3,0,4.536259215
20,1,0,0,20,1,16,1,3.48418372
12,3,1,1,39,1,9,2,3.022055209
18,3,0,0,33,2,8,0,3.725480557
31,3,2,0,5,2,5,5,4.091135423
21,3,0,1,1,2,14,1,3.653756708
21,4,1,0,19,2,3,0,3.558518613
14,6,1,1,2,2,3,0,3.039148672
14,2,1,1,72,1,10,0,3.521640636
26,3,0,0,0,3,3,0,3.796217603
30,5,0,2,1,4,6,0,3.394087996
15,3,0,4,12,1,11,0,3.640223929
6,1,0,0,1,1,3,0,2.584962501
9,1,0,0,19,1,5,0,3.169925001
19,2,0,0,5,2,3,0,3.195295934
16,3,0,0,0,2,4,0,3.25
12,2,1,1,0,1,8,0,3.251629167
14,1,1,0,0,1,10,0,3.324862958
13,2,0,0,3,1,9,0,3.39274741
17,2,0,0,0,2,10,0,3.051601637
16,6,1,1,2,2,3,0,3.452819531
25,3,1,0,0,2,18,0,3.70346519
15,1,0,0,0,1,10,0,3.506890596
17,2,0,0,0,2,3,0,3.292770194
27,1,1,0,28,1,23,0,3.884155095
23,2,0,0,0,1,19,0,3.534219021
36,6,1,0,0,5,6,0,3.902990544
12,2,0,0,22,1,8,0,3.084962501
93,12,1,0,15,12,6,0,4.397774979
16,4,0,0,0,3,3,0,3.155639062
14,2,0,2,15,2,8,1,3.182005815
18,4,0,0,5,3,3,0,3.26633264
33,2,0,0,0,2,26,0,3.578802362
21,4,0,0,0,2,3,0,3.499227542
24,2,1,0,1,2,17,0,3.625814584
29,2,1,0,17,2,19,0,3.538509874
11,2,0,2,20,1,7,0,3.277613437
23,3,0,0,0,2,17,0,3.729446195
35,9,1,3,1,6,2,0,3.650013374
13,4,0,0,0,1,9,0,3.180832987
10,2,1,0,4,1,17.5,0,3.664497779
10,2,1,1,23,1,6,0,2.921928095
14,4,2,0,0,1,10,0,3.182005815
38,3,0,0,11,2,20,5,4.378991987
17,4,3,0,2,1,6,2,3.572469459
17,15,3,0,35,2,10,0,3.852168724
17,1,0,0,0,1,13,0,3.410417253
13,2,0,0,1,1,9,0,3.39274741
10,2,1,0,4,1,17.5,0,3.481661512
11,1,0,0,0,1,7,0,3.095795255
17,4,5,2,2,2,5,2,3.381580488
15,3,0,1,4,3,3,0,2.955913095
15,4,0,0,1,1,11,1,3.506890596
12,6,1,1,2,2,3,0,2.855388542
27,3,1,0,0,2,3,0,3.531941206
16,3,0,2,0,2,3,0,3.327819531
10,1,1,0,2,1,6,2,2.921928095
13,6,0,0,0,2,3,0,3.026986833
46,4,1,0,20,3,9,0,4.033794021
17,2,0,0,3,1,13,0,3.4548224
15,1,1,0,1,1,12,0,3.456564762
26,2,2,0,7,1,6.666666667,7,3.74832866
33,9,0,8,6,5,2,0,3.590631439
21,1,2,1,17,1,17,0,3.558518613
24,2,0,0,1,2,16,0,3.855388542
13,2,0,0,3,1,9,0,3.39274741
16,3,2,0,25,3,3,0,3.280639062
26,2,0,0,16,2,15,7,3.979097891
19,3,1,0,0,2,6,0,3.616348566
127,12,0,0,37,12,6,0,4.69508105
21,1,0,0,0,1,17,0,3.820888851
18,3,0,0,0,2,12,0,3.392147224
10,3,0,0,3,1,6,0,3.121928095
15,2,0,0,20,1,11,0,3.456564762
21,2,0,0,3,2,6,3,3.880179923
14,6,2,7,8,2,3,0,3.182005815
9,2,1,0,2,1,6,2,3.169925001
13,2,0,0,5,1,9,0,3.39274741
14,3,0,0,0,2,3,0,3.182005815
15,4,2,0,22,1,11,0,3.373557262
15,3,0,0,0,2,3,0,3.323231429
14,1,1,0,0,1,4.5,0,3.521640636
16,2,0,0,0,1,12,0,3.077819531
32,2,0,0,0,2,3,0,3.816428032
24,4,0,0,5,3,3,0,3.740601563
10,4,1,0,0,3,27,0,3.969379374
131,15,1,0,42,12,6,0,4.675482336
39,6,1,2,1,5,6,0,3.820801822
13,6,1,7,8,2,3,0,3.026986833
20,2,2,4,6,2,6,0,3.546439345
14,7,1,1,2,2,3,0,2.896291529
40,4,3,0,21,4,6,0,3.965311532
13,3,0,0,0,2,3,0,2.87314068
17,1,0,0,0,1,14,0,3.499227547
13,2,0,0,2,1,9,0,3.39274741
19,2,0,0,1,2,8,1,3.431623566
12,3,0,2,7,1,8,0,3.188721876
5,2,1,0,0,1,10,0,3.251629167
18,1,0,0,0,1,15,0,3.836591668
23,1,0,0,7,1,19,0,3.882045108
11,1,1,0,2,1,3.5,2,2.913977073
26,3,0,0,0,3,3,0,3.661226256
14,7,0,0,7,2,3,0,3.182005815
13,2,0,0,1,1,9,0,3.39274741
15,3,0,0,12,3,3,3,2.923231429
33,3,1,0,12,2,7.5,0,3.937444877
19,1,1,0,0,1,7,0,3.681880803
25,3,1,0,0,2,3,0,3.65366069
13,2,0,0,4,1,9,0,3.39274741
