domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
23,3,0,0,2,2,6,0,3.510
18,2,1,0,1,1,7,0,3.012
35,4,0,1,3,3,5,0,3.891
12,1,0,0,0,1,5,0,2.900
45,5,0,2,10,4,4,0,4.123
16,2,0,0,0,2,6,0,3.123
27,3,1,0,3,2,7,0,3.678
22,4,0,0,1,2,6,0,3.456
31,5,0,1,4,3,5,0,3.987
19,2,0,0,0,1,7,0,3.056
20,3,0,0,2,2,6,0,3.490
15,1,0,0,0,1,5,0,2.950
40,4,0,2,8,4,4,0,4.050
11,2,0,0,0,1,7,0,2.987
25,3,0,0,2,2,6,0,3.567
17,2,1,0,1,1,7,0,3.050
30,4,0,1,3,3,5,0,3.890
13,1,0,0,0,1,5,0,2.970
46,5,0,2,10,4,4,0,4.120
21,2,0,0,0,1,7,0,3.080
18,3,0,0,2,2,6,0,3.450
14,1,0,0,0,1,5,0,2.960
38,4,0,2,8,4,4,0,4.040
10,2,0,0,0,1,7,0,2.990
24,3,0,0,2,2,6,0,3.550
16,2,1,0,1,1,7,0,3.040
29,4,0,1,3,3,5,0,3.880
12,1,0,0,0,1,5,0,2.960
44,5,0,2,10,4,4,0,4.110
19,2,0,0,0,1,7,0,3.070
20,3,0,0,2,2,6,0,3.440
15,1,0,0,0,1,5,0,2.950
41,4,0,2,8,4,4,0,4.030
11,2,0,0,0,1,7,0,2.980
26,3,0,0,2,2,6,0,3.540
17,2,1,0,1,1,7,0,3.030
32,4,0,1,3,3,5,0,3.870
13,1,0,0,0,1,5,0,2.950
47,5,0,2,10,4,4,0,4.100
22,2,0,0,0,1,7,0,3.060
21,3,0,0,2,2,6,0,3.430
16,1,0,0,0,1,5,0,2.940
39,4,0,2,8,4,4,0,4.020
10,2,0,0,0,1,7,0,2.970
25,3,0,0,2,2,6,0,3.530
18,2,1,0,1,1,7,0,3.020
33,4,0,1,3,3,5,0,3.860
14,1,0,0,0,1,5,0,2.940
48,5,0,2,10,4,4,0,4.090
23,2,0,0,0,1,7,0,3.050
22,3,0,0,2,2,6,0,3.420
17,1,0,0,0,1,5,0,2.930
42,4,0,2,8,4,4,0,4.010
11,2,0,0,0,1,7,0,2.960
27,3,0,0,2,2,6,0,3.520
19,2,1,0,1,1,7,0,3.010
34,4,0,1,3,3,5,0,3.850
15,1,0,0,0,1,5,0,2.930
49,5,0,2,10,4,4,0,4.080
24,2,0,0,0,1,7,0,3.040
23,3,0,0,2,2,6,0,3.410
18,1,0,0,0,1,5,0,2.920
43,4,0,2,8,4,4,0,4.000
12,2,0,0,0,1,7,0,2.950
28,3,0,0,2,2,6,0,3.510
20,2,1,0,1,1,7,0,3.000
35,4,0,1,3,3,5,0,3.840
16,1,0,0,0,1,5,0,2.920
50,5,0,2,10,4,4,0,4.070
25,2,0,0,0,1,7,0,3.030
24,3,0,0,2,2,6,0,3.400
19,1,0,0,0,1,5,0,2.910
44,4,0,2,8,4,4,0,3.990
13,2,0,0,0,1,7,0,2.940
29,3,0,0,2,2,6,0,3.500
21,2,1,0,1,1,7,0,2.990
36,4,0,1,3,3,5,0,3.830
17,1,0,0,0,1,5,0,2.910
51,5,0,2,10,4,4,0,4.060
26,2,0,0,0,1,7,0,3.020
25,3,0,0,2,2,6,0,3.390
20,1,0,0,0,1,5,0,2.900
45,4,0,2,8,4,4,0,3.980
14,2,0,0,0,1,7,0,2.930
30,3,0,0,2,2,6,0,3.490
22,2,1,0,1,1,7,0,2.980
37,4,0,1,3,3,5,0,3.820
18,1,0,0,0,1,5,0,2.900
52,5,0,2,10,4,4,0,4.050
27,2,0,0,0,1,7,0,3.010
26,3,0,0,2,2,6,0,3.380
21,1,0,0,0,1,5,0,2.890
46,4,0,2,8,4,4,0,3.970
15,2,0,0,0,1,7,0,2.920
31,3,0,0,2,2,6,0,3.480
23,2,1,0,1,1,7,0,2.970
38,4,0,1,3,3,5,0,3.810
19,1,0,0,0,1,5,0,2.890
53,5,0,2,10,4,4,0,4.040
32,4,0,1,3,3,5,0,3.875
16,2,1,0,1,1,7,0,3.039
20,3,0,0,2,2,6,0,3.452
14,1,0,0,0,1,5,0,2.955
41,5,0,2,10,4,4,0,4.118
18,2,0,0,0,1,7,0,3.081
25,3,0,0,2,2,6,0,3.564
19,4,0,0,1,2,7,0,3.449
36,5,0,1,4,3,5,0,3.983
21,2,0,0,0,1,7,0,3.053
22,3,0,0,2,2,6,0,3.458
15,1,0,0,0,1,5,0,2.958
40,4,0,2,8,4,4,0,4.049
12,2,0,0,0,1,7,0,2.985
26,3,0,0,2,2,6,0,3.557
17,2,1,0,1,1,7,0,3.052
31,4,0,1,3,3,5,0,3.891
13,1,0,0,0,1,5,0,2.972
47,5,0,2,10,4,4,0,4.115
