domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
30,2,1,0,1,1,7,0,3.035
22,3,0,0,2,2,6,0,3.466
28,1,0,0,0,1,5,0,2.961
30,2,0,0,0,1,7,0,2.943
59,5,0,2,10,4,4,0,4.079
24,3,0,0,2,2,6,0,3.55
35,2,1,0,1,1,7,0,3.026
40,2,0,0,0,1,7,0,3.063
14,2,0,0,0,1,7,0,2.979
15,1,0,0,0,1,5,0,2.976
32,2,1,0,1,1,7,0,3.029
33,3,0,0,2,2,6,0,3.468
42,2,1,0,1,1,7,0,3
63,5,0,2,10,4,4,0,4.089
51,3,0,0,2,2,6,0,3.449
31,3,0,0,2,2,6,0,3.539
17,1,0,0,0,1,5,0,2.961
23,2,1,0,1,1,7,0,3.027
16,2,0,0,0,1,7,0,2.973
42,4,0,1,3,3,5,0,3.856
34,2,0,0,0,1,7,0,3.08
30,2,1,0,1,1,7,0,3.018
32,4,0,1,3,3,5,0,3.887
39,5,0,1,4,3,5,0,3.976
33,3,0,0,2,2,6,0,3.553
17,2,0,0,0,1,7,0,2.972
35,2,0,0,0,1,7,0,3.064
50,3,0,0,2,2,6,0,3.45
18,2,1,0,1,1,7,0,3.032
30,1,0,0,0,1,5,0,2.958
51,4,0,1,3,3,5,0,3.841
29,3,0,0,2,2,6,0,3.549
53,2,1,0,1,1,7,0,2.987
40,4,0,1,3,3,5,0,3.856
45,4,0,2,8,4,4,0,4.023
58,4,0,2,8,4,4,0,3.983
68,4,0,1,3,3,5,0,3.821
34,4,0,1,3,3,5,0,3.85
38,3,0,0,2,2,6,0,3.445
40,3,0,0,2,2,6,0,3.46
36,2,1,0,1,1,7,0,3.006
18,1,0,0,0,1,5,0,2.954
58,5,0,2,10,4,4,0,4.077
71,4,0,2,8,4,4,0,3.97
20,2,1,0,1,1,7,0,3.044
55,3,0,0,2,2,6,0,3.445
49,5,0,2,10,4,4,0,4.107
26,2,0,0,0,1,7,0,3.077
22,2,0,0,0,1,7,0,3.08
23,2,0,0,0,1,7,0,2.974
34,4,0,1,3,3,5,0,3.862
31,5,0,1,4,3,5,0,3.987
27,1,0,0,0,1,5,0,2.945
57,5,0,2,10,4,4,0,4.078
49,2,0,0,0,1,7,0,3.053
51,1,0,0,0,1,5,0,2.935
18,1,0,0,0,1,5,0,2.981
15,2,0,0,0,1,7,0,2.974
17,1,0,0,0,1,5,0,2.958
31,3,0,0,2,2,6,0,3.548
57,5,0,2,10,4,4,0,4.097
51,2,0,0,0,1,7,0,3.052
21,1,0,0,0,1,5,0,2.973
48,5,0,2,10,4,4,0,4.108
30,1,0,0,0,1,5,0,2.95
60,3,0,0,2,2,6,0,3.481
51,4,0,1,3,3,5,0,3.839
16,2,1,0,1,1,7,0,3.039
44,4,0,1,3,3,5,0,3.867
46,4,0,2,8,4,4,0,4.033
11,2,0,0,0,1,7,0,2.982
55,4,0,2,8,4,4,0,3.986
14,1,0,0,0,1,5,0,2.96
18,2,0,0,0,1,7,0,3.081
55,4,0,1,3,3,5,0,3.837
45,3,0,0,2,2,6,0,3.524
28,3,0,0,2,2,6,0,3.479
25,2,1,0,1,1,7,0,3.032
43,2,0,0,0,1,7,0,2.929
28,1,0,0,0,1,5,0,2.962
25,2,1,0,1,1,7,0,3.038
46,2,1,0,1,1,7,0,2.996
